4.823	6.072	1	4.829	6.078	1
4.49	5.587	1	4.3	5.398	1
4.553	5.52	1	4.7	5.666	1
4.634	5.705	1	4.35	5.421	1
4.565	5.575	1	4.767	5.777	1
5.247	6.341	0	5.124	6.218	0
4.464	5.632	1	4.561	5.73	1
4.807	5.804	1	4.829	5.825	1
4.9	6.082	1	5.044	6.225	0
4.153	5.217	1	4.238	5.302	1
4.866	5.982	1	4.914	6.03	1
4.653	5.737	1	4.886	5.971	1
4.341	5.404	1	4.45	5.513	1
4.285	5.347	1	4.52	5.582	1
4.691	5.878	1	4.747	5.934	1
4.283	5.731	1	4.341	5.789	1
5.004	5.978	1	4.998	5.972	1
4.369	5.412	1	4.519	5.562	1
4.712	5.739	1	4.944	5.971	1
4.596	5.722	1	4.731	5.857	1
4.7	5.76	1	4.494	5.554	1
3.991	5.233	1	4.289	5.532	1
4.5	5.625	1	4.539	5.664	1
4.167	5.352	1	4.564	5.749	1
4.809	5.753	1	4.898	5.842	1
4.378	5.552	1	4.622	5.797	1
4.139	5.134	1	4.374	5.369	1
4.096	5.235	1	4.238	5.377	1
4.149	5.318	1	4.397	5.566	1
4.418	5.391	1	4.479	5.452	1
4.236	5.444	1	4.556	5.764	1
4.626	5.591	1	4.671	5.636	1
4.092	5.193	1	4.508	5.61	1
4.552	5.661	1	4.729	5.837	1
4.594	5.555	1	4.638	5.599	1
4.608	5.675	1	4.618	5.685	1
4.569	5.652	1	4.759	5.842	1
4.33	5.679	1	4.405	5.754	1
4.724	5.68	1	4.619	5.575	1
4.059	5.129	1	4.281	5.352	1
4.277	5.355	1	4.465	5.543	1
4.468	5.483	1	4.526	5.541	1
4.752	5.724	1	4.68	5.651	1
4.566	5.497	1	4.617	5.548	1
4.567	5.467	1	4.653	5.554	1
4.804	6.093	1	4.636	5.926	1
4.281	5.371	1	4.326	5.416	1
4.444	5.418	1	4.638	5.612	1
4.333	5.631	1	4.507	5.805	1
4.788	5.815	1	4.838	5.866	1
4.293	5.325	1	4.27	5.301	1
4.252	5.476	1	4.247	5.47	1
4.53	5.366	1	4.722	5.559	1
4.662	5.665	1	4.529	5.532	1
4.387	5.595	1	4.506	5.714	1
4.25	5.104	1	4.184	5.038	0
4.175	4.932	0	4.561	5.319	1
4.512	5.768	1	4.623	5.879	1
4.641	5.845	1	4.723	5.927	1
4.434	5.617	1	4.702	5.885	1
4.959	6.007	1	4.83	5.877	1
4.334	5.617	1	4.295	5.578	1
4.31	5.436	1	4.593	5.72	1
4.732	5.898	1	4.789	5.955	1
4.441	5.552	1	4.632	5.743	1
4.406	5.532	1	4.444	5.569	1
4.385	5.52	1	4.26	5.395	1
4.425	5.427	1	4.654	5.655	1
4.569	5.641	1	4.654	5.726	1
