5.076	6.113	0	4.834	5.871	1
4.553	5.734	1	4.065	5.247	1
4.198	5.512	1	4.361	5.676	1
4.46	5.671	1	4.281	5.492	1
4.732	5.834	1	4.722	5.824	1
4.835	6.006	1	5.198	6.369	0
4.561	5.736	1	4.562	5.738	1
4.49	5.651	1	4.787	5.948	1
4.541	5.819	1	4.918	6.197	1
4.121	5.157	1	4.144	5.181	1
5.015	5.591	1	5.209	5.784	0
4.922	6.228	1	4.704	6.01	1
4.532	6.071	1	3.923	5.463	1
4.487	5.478	1	4.36	5.351	1
4.596	5.838	1	4.793	6.035	1
3.964	5.313	1	4.32	5.67	1
5.277	6.092	0	4.955	5.77	1
4.148	5.582	1	4.304	5.737	1
5.068	6.358	0	4.784	6.074	1
4.456	5.632	1	4.733	5.909	1
4.301	5.499	1	4.387	5.585	1
4.45	5.554	1	4.302	5.405	1
4.35	5.706	1	4.437	5.793	1
4.654	5.778	1	4.331	5.454	1
4.918	5.561	1	4.934	5.577	1
4.579	5.544	1	4.743	5.708	1
4.458	5.718	1	4.089	5.348	1
4.006	5.513	1	3.988	5.495	1
4.023	5.372	1	4.223	5.572	1
4.501	5.646	1	4.261	5.407	1
4.461	5.502	1	4.587	5.628	1
4.545	5.777	1	4.388	5.619	1
4.166	5.6	1	4.204	5.638	1
4.751	5.855	1	4.646	5.75	1
4.358	5.499	1	4.513	5.654	1
4.82	6.148	1	4.389	5.716	1
4.502	5.837	1	4.483	5.817	1
3.975	5.147	1	4.588	5.76	1
4.657	5.93	1	4.356	5.629	1
4.167	5.106	1	4.35	5.289	1
4.669	5.617	1	4.483	5.431	1
4.382	5.612	1	4.343	5.573	1
4.738	5.793	1	4.523	5.577	1
4.364	5.377	1	4.554	5.567	1
4.224	5.606	1	4.445	5.826	1
4.919	5.998	1	4.692	5.771	1
4.502	5.629	1	4.2	5.326	1
4.251	5.451	1	4.466	5.666	1
4.552	5.871	1	4.411	5.73	1
4.612	5.751	1	4.731	5.869	1
4.383	5.27	1	4.299	5.186	1
4.171	5.317	1	4.257	5.403	1
4.348	5.7	1	4.263	5.614	1
4.425	5.468	1	4.278	5.321	1
4.474	5.612	1	4.502	5.641	1
4.376	5.218	1	4.124	4.966	0
4.209	5.149	1	4.418	5.358	1
4.615	5.504	1	4.788	5.677	1
4.567	5.627	1	4.746	5.806	1
4.592	5.785	1	4.629	5.822	1
4.444	5.528	1	4.838	5.922	1
3.985	5.561	1	4.204	5.78	1
4.21	5.517	1	4.442	5.749	1
4.448	6.154	1	4.525	6.231	1
4.536	5.456	1	4.687	5.607	1
4.411	5.613	1	4.279	5.481	1
4.582	5.34	1	4.321	5.079	1
