4.7447	5.8454	1	4.6143	5.715	1	4.6589	5.8008	1	0.1544	4.8272	5.7579	1	4.7017	5.6325	1	4.8196	5.7503	1	4.7094	5.6401	1
4.4447	5.6237	1	4.685	5.864	1	4.5525	5.7562	1	0.1343	4.5277	5.5483	1	4.7604	5.781	1	4.54	5.5607	1	4.748	5.7687	1
4.2346	5.4134	1	4.3786	5.5574	1	4.309	5.4829	1	0.1367	4.3148	5.3325	1	4.4594	5.4771	1	4.325	5.3427	1	4.4493	5.467	1
4.249	5.1998	1	4.5167	5.4674	1	4.3211	5.3953	1	0.1693	4.3268	5.1166	1	4.5999	5.3896	1	4.3522	5.1419	1	4.5745	5.3643	1
4.6197	5.7311	1	4.6801	5.7914	1	4.631	5.7802	1	0.1469	4.7016	5.6497	1	4.7615	5.7096	1	4.7058	5.6539	1	4.7573	5.7054	1
4.887	6.0546	1	4.8738	6.0414	1	4.8971	6.0313	1	0.1573	4.9834	5.9674	1	4.9611	5.945	1	4.9778	5.9618	1	4.9667	5.9506	1
4.3937	5.5004	1	4.502	5.6087	1	4.4564	5.546	1	0.166	4.4905	5.4135	1	4.5889	5.5119	1	4.4946	5.4176	1	4.5849	5.5079	1
4.3696	5.4596	1	4.3721	5.4621	1	4.3818	5.4499	1	0.1658	4.4692	5.3784	1	4.4533	5.3625	1	4.4602	5.3694	1	4.4623	5.3715	1
4.4617	5.5761	1	4.4743	5.5887	1	4.4812	5.5692	1	0.165	4.5519	5.4825	1	4.5679	5.4985	1	4.5547	5.4852	1	4.5652	5.4958	1
4.2243	5.3243	1	4.4804	5.5804	1	4.3617	5.443	1	0.1676	4.321	5.2367	1	4.568	5.4837	1	4.3379	5.2536	1	4.5511	5.4668	1
4.4585	5.5986	1	4.6468	5.7869	1	4.5273	5.7181	1	0.1378	4.5371	5.5202	1	4.7252	5.7083	1	4.55	5.5331	1	4.7123	5.6954	1
4.1088	5.1461	1	4.164	5.2014	1	4.1151	5.1951	1	0.1597	4.1986	5.0703	1	4.2399	5.1115	1	4.1961	5.0677	1	4.2425	5.1141	1
4.6389	5.7918	1	4.6133	5.7662	1	4.5971	5.808	1	0.1359	4.7166	5.7128	1	4.6923	5.6885	1	4.7155	5.7117	1	4.6934	5.6896	1
4.5796	5.6611	1	4.4995	5.581	1	4.5236	5.637	1	0.1497	4.6688	5.5883	1	4.5723	5.4919	1	4.6546	5.5741	1	4.5865	5.506	1
4.2505	5.3487	1	4.5263	5.6245	1	4.4073	5.4677	1	0.1704	4.3502	5.2613	1	4.6137	5.5248	1	4.3675	5.2786	1	4.5964	5.5075	1
4.1753	5.2342	1	4.2365	5.2955	1	4.1834	5.2873	1	0.157	4.2626	5.1553	1	4.3155	5.2082	1	4.2632	5.1559	1	4.3149	5.2075	1
4.601	5.6527	1	4.6966	5.7483	1	4.6167	5.7326	1	0.161	4.6867	5.5691	1	4.7802	5.6627	1	4.6933	5.5758	1	4.7736	5.656	1
4.7339	5.8248	1	4.6947	5.7857	1	4.6652	5.8543	1	0.1415	4.8136	5.7502	1	4.7693	5.7059	1	4.8083	5.7449	1	4.7747	5.7113	1
4.5942	5.7481	1	4.7124	5.8664	1	4.6501	5.8105	1	0.1478	4.6843	5.6677	1	4.7929	5.7763	1	4.6882	5.6716	1	4.789	5.7724	1
4.4765	5.5005	1	4.4147	5.4387	1	4.412	5.5032	1	0.1597	4.5658	5.4263	1	4.4889	5.3494	1	4.5533	5.4138	1	4.5014	5.3619	1
4.1795	5.2281	1	4.5098	5.5584	1	4.2709	5.467	1	0.1322	4.2528	5.1628	1	4.5751	5.4851	1	4.2707	5.1806	1	4.5573	5.4673	1
4.3354	5.499	1	4.6	5.7637	1	4.4733	5.6257	1	0.1494	4.4286	5.4184	1	4.6806	5.6705	1	4.4421	5.4319	1	4.6672	5.657	1
4.1668	5.3492	1	4.179	5.3614	1	4.1359	5.3923	1	0.1143	4.2391	5.2864	1	4.2418	5.2891	1	4.235	5.2823	1	4.2459	5.2931	1
4.5485	5.779	1	4.5931	5.8236	1	4.5645	5.8075	1	0.1274	4.6314	5.705	1	4.667	5.7407	1	4.6297	5.7034	1	4.6686	5.7423	1
4.3357	5.5183	1	4.4967	5.6793	1	4.3887	5.6264	1	0.127	4.4196	5.452	1	4.563	5.5955	1	4.421	5.4535	1	4.5616	5.594	1
4.8688	6.0606	1	4.8869	6.0787	1	4.8431	6.1043	1	0.1276	4.947	5.9867	1	4.9607	6.0005	1	4.9459	5.9857	1	4.9617	6.0015	1
4.2182	5.2294	1	4.3841	5.3953	1	4.2836	5.3298	1	0.1733	4.3105	5.1464	1	4.4671	5.303	1	4.3202	5.1561	1	4.4573	5.2933	1
4.2137	5.3112	1	4.4795	5.577	1	4.3205	5.4702	1	0.139	4.2931	5.2381	1	4.5526	5.4976	1	4.3085	5.2534	1	4.5373	5.4823	1
3.903	5.0054	0	4.2984	5.4008	1	4.0859	5.2178	1	0.1507	3.9911	4.9273	0	4.3764	5.3126	1	4.0159	4.9521	0	4.3517	5.2879	1
4.6575	5.7542	1	4.7576	5.8543	1	4.6695	5.8424	1	0.148	4.7408	5.6752	1	4.8366	5.771	1	4.7461	5.6804	1	4.8314	5.7657	1
5.1061	6.3442	0	4.8586	6.0967	1	4.9868	6.2161	1	0.1339	5.1842	6.2565	0	4.9464	6.0187	1	5.1724	6.2447	0	4.9581	6.0304	1
4.3962	5.4445	1	4.5507	5.5989	1	4.4301	5.5651	1	0.1525	4.4801	5.3684	1	4.6267	5.5151	1	4.488	5.3763	1	4.6188	5.5072	1
4.419	5.5597	1	4.1554	5.2962	1	4.2842	5.431	1	0.1433	4.4969	5.4742	1	4.2409	5.2182	1	4.4818	5.4591	1	4.256	5.2333	1
4.4593	5.6433	1	4.5732	5.7573	1	4.5326	5.684	1	0.1495	4.5463	5.5533	1	4.6632	5.6703	1	4.5563	5.5633	1	4.6532	5.6603	1
4.7322	5.7884	1	4.4072	5.4635	1	4.5398	5.6558	1	0.1612	4.8081	5.694	1	4.5016	5.3876	1	4.7911	5.6771	1	4.5186	5.4045	1
4.8473	5.9397	1	4.8287	5.9211	1	4.8376	5.9308	1	0.1695	4.9402	5.8474	1	4.921	5.8282	1	4.9383	5.8456	1	4.9229	5.8301	1
4.0406	5.0854	1	4.3306	5.3754	1	4.1761	5.2399	1	0.1702	4.1359	5.0029	0	4.4131	5.2801	1	4.1542	5.0212	0	4.3948	5.2618	1
4.4259	5.5347	1	4.3779	5.4866	1	4.4097	5.5028	1	0.1627	4.5184	5.4467	1	4.4658	5.3942	1	4.5122	5.4406	1	4.472	5.4003	1
4.6881	5.8299	1	4.7479	5.8897	1	4.6904	5.8873	1	0.138	4.7633	5.7475	1	4.8302	5.8145	1	4.771	5.7552	1	4.8225	5.8068	1
4.5354	5.58	1	4.4705	5.5151	1	4.4652	5.5853	1	0.1473	4.6163	5.507	1	4.5435	5.4343	1	4.6076	5.4983	1	4.5522	5.443	1
4.4975	5.6432	1	4.3695	5.5152	1	4.4037	5.609	1	0.1302	4.5766	5.5732	1	4.4396	5.4361	1	4.5638	5.5603	1	4.4524	5.449	1
4.004	5.1311	1	4.2227	5.3499	1	4.1189	5.235	1	0.1466	4.0901	5.052	1	4.3019	5.2638	1	4.1026	5.0645	1	4.2893	5.2512	1
4.6618	5.7579	1	4.5183	5.6144	1	4.573	5.7033	1	0.1567	4.7528	5.6771	1	4.5992	5.5234	1	4.7365	5.6608	1	4.6155	5.5397	1
